Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,Inovation_Score
49.0,185,250.0,33990.0,265,175,0.3238867879414049
77.0,179,640.0,67264.284789644,430,180,0.4139609532773392
64.0,203,470.0,57390.0,315,160,0.3706802681790323
89.0,209,660.0,74400.0,425,200,0.4709655001263369
63.0,188,450.0,47490.0,335,160,0.3588798494948463
54.0,177,750.0,46990.0,305,185,0.40739336525715303
118.0,177,840.0,57833.3444159492,665,270,0.6360532565832844
107.0,230,610.0,57833.3444159492,465,180,0.5061751172245046
66.5,164,580.0,50777.0,405,160,0.3554585787289156
90.0,290,310.0,71626.0,310,160,0.4245781875693272
70.5,176,540.0,81900.0,400,200,0.39578557595021446
91.0,204,390.0,65900.0,445,180,0.4121704252193089
52.0,182,360.0,40335.0,285,160,0.31919124447781777
123.0,237,520.0,89790.0,520,200,0.4941226461051902
90.0,180,520.0,68500.0,500,200,0.442808421053465
77.0,175,660.0,51150.0,440,180,0.4284503155596799
93.1,190,1020.0,67264.284789644,490,200,0.5317884405084006
79.0,198,600.0,61400.0,400,180,0.4395121121132196
75.0,197,480.0,41560.0,380,160,0.3989348618296188
96.0,211,630.0,99841.0,455,210,0.4625767629655299
49.0,158,440.0,36900.0,310,170,0.3323361064622983
72.6,191,460.0,55800.0,380,180,0.3897058386068824
79.0,188,630.0,54450.0,420,180,0.42881516261512
84.7,223,360.0,92400.0,380,200,0.4103240815775867
77.0,169,680.0,63300.0,455,180,0.4186870288189778
82.7,178,650.0,67264.284789644,465,200,0.45374584832768483
106.5,201,630.0,69950.0,530,205,0.5069970363875262
89.0,170,660.0,67187.0,525,210,0.45236285344868943
28.5,168,180.0,39900.0,170,145,0.22160005751049516
109.0,240,950.0,57833.3444159492,455,260,0.6788685263222324
62.0,188,510.0,50990.0,330,180,0.40666851559930983
50.8,169,450.0,45765.0,300,150,0.30289477267457643
89.0,209,540.0,67264.284789644,425,210,0.4651057630468698
108.4,217,750.0,57833.3444159492,500,210,0.5476734483795744
44.9,176,260.0,32740.0,255,160,0.29878619156665787
48.1,153,490.0,38045.0,315,150,0.3049574071369353
56.0,193,330.0,40490.0,290,156,0.3306440603296216
77.0,181,630.0,49020.0,425,180,0.430482734774942
66.5,190,500.0,67264.284789644,350,160,0.35953132507481456
40.0,154,370.0,42000.0,260,150,0.2529707279575391
47.0,184,330.0,37490.0,255,180,0.3457122638481287
50.8,154,470.0,41540.0,330,150,0.2917614913178901
92.0,159,970.0,57833.3444159492,580,250,0.5837445004349899
77.0,171,670.0,67264.284789644,450,180,0.405925555689075
107.0,238,590.0,57833.3444159492,450,180,0.5162743039647933
46.3,171,430.0,67264.284789644,270,150,0.2617002515814179
77.0,183,630.0,53255.0,420,180,0.43387741616142556
66.5,187,510.0,56424.0,355,160,0.37164677583005823
77.0,164,700.0,53400.0,470,180,0.4248236187702368
70.5,164,600.0,52205.0,430,160,0.36453330554848784
74.0,190,1020.0,67264.284789644,390,185,0.479077621915229
108.4,184,880.0,57833.3444159492,590,210,0.5610606170560208
45.0,205,230.0,39300.0,220,132,0.2633926217230531
48.1,155,480.0,36775.0,310,150,0.3057405386497025
60.0,190,380.0,39563.0,315,150,0.34316554574376684
48.4,167,280.0,41990.0,290,160,0.28858338524297567
77.0,195,590.0,59000.0,395,180,0.43057107358223784
93.1,196,990.0,67264.284789644,475,200,0.5458874676911953
76.6,180,660.0,67264.284789644,425,160,0.38002517969376226
90.0,178,530.0,90900.0,505,200,0.41643142729318183
66.5,190,500.0,67264.284789644,350,160,0.34953132507481455
77.0,177,650.0,54950.0,435,180,0.42295123057760176
90.6,208,650.0,67264.284789644,435,210,0.4961387237570456
64.0,173,350.0,46950.0,370,167,0.333915372511975
101.7,196,780.0,57833.3444159492,520,205,0.5288806572788906
106.0,233,570.0,95800.0,455,210,0.49264032670324465
83.7,186,1110.0,57833.3444159492,450,250,0.6089978003740679
82.7,167,690.0,67264.284789644,495,200,0.43761299979126217
83.7,173,1190.0,98863.0,485,230,0.532365996592261
101.7,208,730.0,57833.3444159492,490,250,0.586194742672276
50.8,169,480.0,43490.0,300,170,0.32981897346115596
66.0,186,430.0,47500.0,355,180,0.3797655281995552
92.0,156,990.0,57833.3444159492,590,200,0.5285036536669652
77.0,179,640.0,56455.0,430,180,0.427942929637134
83.0,195,990.0,67264.284789644,425,320,0.6599587724103035
64.7,170,550.0,67264.284789644,380,170,0.3417697150045671
21.3,158,230.0,30990.0,135,135,0.20182322498860716
46.3,157,470.0,34650.0,295,150,0.3023210651189384
107.0,228,610.0,95200.0,470,210,0.49611887048599645
46.3,226,330.0,37790.0,205,135,0.3190269380106988
90.0,290,310.0,64248.0,310,160,0.4343084728237938
87.0,215,480.0,61990.0,405,200,0.4592602719071657
90.0,205,460.0,74500.0,440,200,0.44223852122480456
50.8,154,470.0,41540.0,330,150,0.2917614913178901
50.8,169,480.0,40540.0,300,150,0.3147261918996812
108.4,178,910.0,57833.3444159492,610,210,0.5554749588571832
51.0,196,240.0,67264.284789644,260,155,0.27384783085744097
46.0,174,320.0,35490.0,265,185,0.33336981115199404
96.0,202,660.0,86811.0,475,210,0.46446191598390046
89.0,176,640.0,74149.0,505,210,0.4493429340080652
